date        NoDur  Durbl  Manuf  Enrgy  HiTec  Telcm  Shops  Hlth   Utils  Other
193612  -1.18  -7.17   1.82   9.24   2.59  -0.39  -8.54  -2.02  -1.73  -1.21
193701   2.42   7.29   4.60   2.41   8.69  -0.85   0.60   3.31   2.24   1.05
193702   0.99  -0.44   2.65   1.34  -1.39  -3.05   2.44  -3.90  -4.23   4.69
193703  -0.91  -4.12   1.41   3.48  -4.48  -2.09  -3.58  -5.02  -6.33   2.63
193704  -6.38  -7.96  -9.09  -5.25  -7.58  -5.23  -6.11  -3.34  -7.31  -6.71
193705  -0.40  -1.99   1.02  -0.21   0.66   1.52  -6.52   1.70  -5.27  -3.37
193706  -3.27 -10.74  -3.65  -2.64  -1.37   1.40  -1.80  -4.04  -5.27  -8.94
193707   4.97  13.14   9.29   8.05   9.52   3.27  10.00   4.13  19.31   8.69
193708  -2.45  -2.23  -4.42  -6.46  -4.80  -2.54  -5.11   1.12 -10.26  -8.41
193709  -9.32 -12.63 -17.45 -12.94 -14.00  -2.08 -12.85 -10.77 -11.70 -15.86
193710  -7.01 -12.89 -13.83  -6.86  -7.23  -5.36  -6.09  -3.58  -4.94 -10.16
193711  -5.89 -15.15  -9.29 -11.28  -4.37  -3.59 -14.73  -5.14   2.92  -6.78
193712  -2.25 -16.24  -2.27  -1.19  -2.17  -1.53  -6.32  -2.07 -10.56  -6.61
193801   2.84  10.98  -1.34   0.46  -2.55  -2.44   6.98   3.52  -5.65   0.50
193802   3.59   3.51   8.52   9.15   4.20  -2.33   8.43   8.69   3.60   4.87
193803 -15.83 -27.28 -25.65 -24.56 -27.70 -17.43 -20.58 -14.37 -19.46 -29.74
193804  12.51  14.88  13.75  14.47  16.76  13.47  15.53  11.73  14.64  14.46
193805  -0.28  -6.95  -6.86  -5.70  -3.00   0.83  -3.96   1.71   2.36  -3.92
193806  13.11  35.91  33.02  21.52  27.33  12.41  22.42   9.97  16.83  24.88
193807   6.60  19.81   6.76   7.14   5.73   1.28   9.35   5.73   0.74   9.92
193808  -3.99   6.10  -1.88  -8.65  -1.11   0.29  -2.86   0.37  -5.52  -3.82
193809   0.53   0.73   1.69   0.85   1.70   0.85  -0.62  -0.03   1.23  -1.28
193810   5.14   6.48  10.48  -1.56  10.04   3.56   7.70   5.52  21.09  11.28
193811  -2.52  -1.16  -1.49  -0.06  -4.48   0.66  -0.71   1.46  -7.00  -2.00
193812   2.80   2.11   5.53   4.57   3.12   2.57   0.18   0.86   3.98   6.40
193901  -1.88  -8.36  -9.25  -6.25  -7.49   1.81  -2.73  -0.93   1.29  -8.74
